Student_ID,Age,Gender,Math_Score,Science_Score,English_Score,Attendance_Rate,Participation,Grade_Level
1001,17,Male,69,52,56,79.53,High,10th
1002,16,Male,84,88,45,83.64,Medium,11th
1003,14,Female,40,55,58,62.11,Low,10th
1004,14,Female,81,59,71,77.87,Low,12th
1005,14,Male,77,77,70,86.93,High,10th
1006,15,Male,41,88,62,85.8,High,12th
1007,15,Male,48,84,66,63.05,High,12th
1008,14,Female,60,68,82,64.1,Low,9th
1009,17,Female,61,63,71,86.26,Low,11th
1010,15,Female,84,76,90,81.36,Low,12th
1011,16,Female,71,48,77,99.24,Medium,9th
1012,16,Male,72,46,79,94.84,High,10th
1013,16,Female,64,58,85,94.17,High,12th
1014,18,Male,60,82,85,78.21,Medium,12th
1015,18,Female,55,90,87,97.3,High,9th
1016,15,Female,67,75,71,82.7,Medium,12th
1017,14,Male,66,75,40,75.83,High,9th
1018,18,Female,63,60,91,91.66,High,10th
1019,17,Female,97,75,76,97.45,Low,11th
1020,16,Male,83,49,81,67.52,Medium,11th
1021,17,Male,98,61,83,96.32,Low,11th
1022,18,Female,61,48,54,87.79,Medium,10th
1023,15,Male,50,41,81,89.98,High,12th
1024,16,Male,64,76,82,77.51,Low,12th
1025,14,Female,74,54,69,78.43,High,9th
1026,14,Female,81,77,97,88.12,Low,10th
1027,16,Male,69,45,71,85.76,High,9th
1028,14,Male,64,45,63,91.71,Low,10th
1029,16,Female,64,73,80,65.3,Medium,9th
1030,15,Female,51,50,57,60.22,Medium,11th
1031,18,Female,57,44,91,63.87,Medium,12th
1032,18,Female,64,56,94,97.31,Medium,11th
1033,16,Male,64,99,63,95.72,Medium,11th
1034,15,Female,53,50,98,90.29,High,12th
1035,16,Male,52,69,58,80.23,Medium,9th
1036,15,Female,56,82,80,93.22,High,10th
1037,14,Male,47,95,96,69.35,Low,11th
1038,14,Male,85,71,86,92.04,Medium,9th
1039,14,Female,58,55,72,86.53,High,9th
1040,18,Female,85,64,65,81.97,Low,9th
1041,17,Female,56,73,58,64.52,Medium,9th
1042,18,Male,89,46,51,64.78,Medium,10th
1043,16,Female,68,92,74,87.57,High,12th
1044,15,Male,43,42,93,64.45,High,12th
1045,14,Male,94,85,73,81.57,Low,12th
1046,16,Female,40,84,73,77.18,High,9th
1047,14,Female,68,99,86,75.07,Medium,12th
1048,15,Male,50,59,71,75.55,Low,11th
1049,16,Male,87,79,87,61.05,Low,12th
1050,17,Male,61,53,78,74.37,Low,12th
1051,17,Female,46,63,61,82.47,Medium,10th
1052,16,Male,84,66,77,64.53,High,10th
1053,18,Male,52,97,56,88.12,Medium,12th
1054,16,Male,81,86,78,90.64,High,12th
1055,14,Male,86,99,40,78.79,Medium,9th
1056,14,Male,67,96,62,79.12,Medium,10th
1057,17,Female,57,55,73,99.94,Medium,9th
1058,18,Male,81,94,94,89.04,Medium,11th
1059,18,Male,72,84,92,79.93,Medium,10th
1060,14,Female,41,63,51,74.4,Low,11th
1061,17,Female,48,88,69,88.12,High,9th
1062,18,Female,56,94,72,82.67,High,10th
1063,18,Female,50,82,51,61.77,Low,9th
1064,14,Male,99,52,77,85.41,Medium,11th
1065,18,Female,41,93,56,67.24,Low,12th
1066,17,Male,86,90,96,98.66,Medium,10th
1067,18,Male,62,91,65,79.81,Medium,12th
1068,15,Male,74,42,60,61.73,Low,12th
1069,15,Female,93,63,95,79.74,Medium,12th
1070,14,Female,61,53,45,88.0,Low,11th
1071,16,Male,99,46,95,61.21,High,10th
1072,15,Female,79,46,70,80.51,High,10th
1073,16,Female,93,74,61,73.45,Medium,10th
1074,18,Male,49,40,96,62.55,Medium,11th
1075,17,Female,66,72,85,91.71,Medium,12th
1076,15,Male,74,82,74,82.1,High,10th
1077,16,Male,67,88,52,78.98,Medium,9th
1078,14,Female,41,63,91,79.77,Low,10th
1079,14,Female,85,76,72,88.85,Low,12th
1080,15,Male,42,88,96,79.63,Low,12th
1081,18,Female,40,77,42,93.44,Medium,12th
1082,16,Female,66,92,44,63.07,Low,12th
1083,18,Female,60,48,61,72.12,High,11th
1084,16,Female,86,94,58,96.0,High,12th
1085,16,Male,74,47,40,82.53,Low,11th
1086,17,Male,96,67,72,93.92,Medium,9th
1087,17,Male,49,95,89,98.56,Low,10th
1088,14,Male,80,94,78,62.97,High,12th
1089,14,Female,99,78,53,84.04,Low,11th
1090,18,Female,55,41,79,98.64,Medium,10th
1091,15,Female,47,67,93,99.56,High,9th
1092,14,Female,85,90,76,79.96,High,10th
1093,16,Female,77,58,56,95.56,Low,11th
1094,17,Male,81,57,82,97.29,Low,11th
1095,15,Male,89,71,40,97.88,Low,10th
1096,15,Female,61,43,58,75.61,High,9th
1097,15,Female,68,51,77,84.44,Low,11th
1098,17,Female,40,52,46,74.58,Medium,12th
1099,15,Male,71,87,93,98.66,Low,9th
1100,15,Female,86,84,60,78.36,High,12th
